"id","kitapadi","yazar","yayinevi","ucret","link"
1,"Köpeğinize Kuantum Fiziğini Nasıl Öğretirsiniz?","Chad Orzel","Aylak Kitap","43,70 TL","https://www.dr.com.tr/kitap/kopeginize-kuantum-fizigini-nasil-ogretirsiniz/bilim/populer-bilim/urunno=0000000361363"
2,"Gündelik Hayatta Fizik","James Kakalios","Paloma Yayınevi","23,40 TL","https://www.dr.com.tr/kitap/gundelik-hayatta-fizik/bilim/populer-bilim/urunno=0001774708001"
3,"Zaman İllüzyonu - Ölçülen Zaman Mitimiz","Joseph Mazur","Paloma Yayınevi","28,80 TL","https://www.dr.com.tr/kitap/zaman-illuzyonu-olculen-zaman-mitimiz/bilim/populer-bilim/urunno=0001964973001"
4,"Agroekoloji - Başka Bir Tarım Mümkün","Kolektif","Metis Yayıncılık","62,80 TL","https://www.dr.com.tr/kitap/agroekoloji-baska-bir-tarim-mumkun/bilim/ekoloji-cevre-bilim/urunno=0001941330001"
5,"Kara Delikler","Stephen Hawking","Alfa Yayıncılık","23,15 TL","https://www.dr.com.tr/kitap/kara-delikler/bilim/astronomi/urunno=0001718325001"
6,"Einstein ın Buzdolabı","Steve Silverman","Dokuz Yayınları","24,60 TL","https://www.dr.com.tr/kitap/einsteinin-buzdolabi/bilim/populer-bilim/urunno=0001986030001"
7,"Astrobiyoloji - Evrende Yaşam Arayışı","Andrew May","Say Yayınları","33,00 TL","https://www.dr.com.tr/kitap/astrobiyoloji-evrende-yasam-arayisi/bilim/populer-bilim/urunno=0001986245001"
8,"Göksel Kürelerin Devinimleri Üzerine - Hasan Ali Yücel Klasikleri","Nicolaus Copernicus","İş Bankası...","21,45 TL","https://www.dr.com.tr/kitap/goksel-kurelerin-devinimleri-uzerine-hasan-ali-yucel-klasikleri/bilim/astronomi/urunno=0000000331662"
9,"Evrim Kuramı ve Mekanizmaları","Çağrı Mert Bakırcı","Ginko Bilim","35,00 TL","https://www.dr.com.tr/kitap/evrim-kurami-ve-mekanizmalari/bilim/populer-bilim/urunno=0001778644001"
10,"Paralel Dünyalar","Michio Kaku","Odtü","49,15 TL","https://www.dr.com.tr/kitap/paralel-dunyalar/bilim/populer-bilim/urunno=0001784874001"
11,"Göreliliğin Anlamı","Albert Einstein","Alfa Yayıncılık","30,60 TL","https://www.dr.com.tr/kitap/goreliligin-anlami/bilim/bilim-tarihi-ve-felsefesi/urunno=0000000621609"
12,"Fizik Yasaları Üzerine","Richard P. Feynman","Alfa Yayıncılık","30,60 TL","https://www.dr.com.tr/kitap/fizik-yasalari-uzerine-clz/bilim/bilim-tarihi-ve-felsefesi/urunno=0000000420296"
13,"Fransada ve Türkiye de Yoksulluğun Silüetleri Yuvayı Kaybetmek - Karşılaştırmalı Konut Sorunu","Cansu Tekin","Nota Bene Yayınları","45,50 TL","https://www.dr.com.tr/kitap/fransada-ve-turkiyede-yoksullugun-siluetleri-yuvayi-kaybetmek-karsilastirmali-konut-sorunu/bilim/ekoloji-cevre-bilim/urunno=0001981315001"
14,"Geleceğin Fiziği","Michio Kaku","Odtü","54,20 TL","https://www.dr.com.tr/kitap/gelecegin-fizigi/bilim/populer-bilim/urunno=0000000590023"
15,"Beyin Sizsiniz 5.0 - Metaverse  Holistik Çağ","İsmail Hakkı Aydın","Girdap","34,30 TL","https://www.dr.com.tr/kitap/beyin-sizsiniz-50-metaverse-holistik-cag/ismail-hakki-aydin/bilim/populer-bilim/urunno=0001958779001"
16,"Gezegenler","David A. Rothery","Dost Kitabevi","28,80 TL","https://www.dr.com.tr/kitap/gezegenler/bilim/astronomi/urunno=0001694412001"
17,"Balayı Etkisi","Bruce H. Lipton","Beyaz Baykuş","28,35 TL","https://www.dr.com.tr/kitap/balayi-etkisi/bruce-h-lipton/bilim/populer-bilim/urunno=0001973556001"
18,"Bilimin Büyüsü","A. M. Celal Şengör","İnkılap Kitabevi","24,50 TL","https://www.dr.com.tr/kitap/bilimin-buyusu/bilim/populer-bilim/urunno=0001792397001"
19,"Holografik Evren","Michael Talbot","Omega","82,50 TL","https://www.dr.com.tr/kitap/holografik-evren/bilim/populer-bilim/urunno=0000000654875"
20,"Gerçekten Bilmeniz Gereken 50 Matematik Fikri","Tony Crilly","Domingo Yayınevi","54,40 TL","https://www.dr.com.tr/kitap/gercekten-bilmeniz-gereken-50-matematik-fikri/bilim/matematik/urunno=0000000618852"
21,"Yaratıcı Tür-Fikirler Dünyayı Nasıl Yeniden Yaratıyor","David Eagleman","Domingo Yayınevi","49,00 TL","https://www.dr.com.tr/kitap/yaratici-tur-fikirler-dunyayi-nasil-yeniden-yaratiyor/bilim/populer-bilim/urunno=0001808114001"
22,"Zamanın Düzeni","Carlo Rovelli","Tellekt","30,80 TL","https://www.dr.com.tr/kitap/zamanin-duzeni/carlo-rovelli/bilim/populer-bilim/urunno=0001873839001"
23,"Bahçıvanlar için Kocakarı İlmi - Bahçıvanın Büyüsü","Bridget Boland","Alef","27,30 TL","https://www.dr.com.tr/kitap/bahcivanlar-icin-kocakari-ılmi-bahcivanin-buyusu/bilim/ekoloji-cevre-bilim/urunno=0001905497001"
24,"İnsanlığın Geleceği","Michio Kaku","Odtü","41,60 TL","https://www.dr.com.tr/kitap/ınsanligin-gelecegi/michio-kaku/bilim/bilim-tarihi-ve-felsefesi/urunno=0001846055001"
25,"Teknolojinin Evrimi","George Basalla","Doğu Batı Yayınları","45,50 TL","https://www.dr.com.tr/kitap/teknolojinin-evrimi/bilim/bilim-tarihi-ve-felsefesi/urunno=0000000442335"
26,"Nikola Tesla Kendini Anlatıyor","Nikola Tesla","Geoturka","18,00 TL","https://www.dr.com.tr/kitap/nikola-tesla-kendini-anlatiyor/bilim/bilim-ınsanlari/urunno=0000000646893"
27,"Neden Dünyayı Önemsemeliyim?","Susan Meredith","Tübitak Yayınları","8,00 TL","https://www.dr.com.tr/kitap/neden-dunyayi-onemsemeliyim/susan-meredith/bilim/tubitak-kitaplari/urunno=0000000410922"
28,"Neden Formda Kalmalıyım","Susan Meredith","Tübitak Yayınları","8,00 TL","https://www.dr.com.tr/kitap/neden-formda-kalmaliyim/susan-meredith/bilim/tubitak-kitaplari/urunno=0000000410923"
29,"Sabretmeye Değer","Aleix Cabrera","Tübitak Yayınları","8,00 TL","https://www.dr.com.tr/kitap/sabretmeye-deger/aleix-cabrera/bilim/tubitak-kitaplari/urunno=0000000702760"
30,"Sevişen Beyin: Eş Bulma Süreci İnsan Doğasını Nasıl Belirledi?","Geoffrey Miller","Alfa Yayıncılık","51,00 TL","https://www.dr.com.tr/kitap/sevisen-beyin-es-bulma-sureci-ınsan-dogasini-nasil-belirledi/geoffrey-miller/bilim/populer-bilim/urunno=0001801693001"
31,"Hellenistik ve Roma Dönemlerinde Anadolu: Krallar-İmparatorlar-Kent Devletleri-Küçük Boy","Oğuz Tekin","Yapı Kredi Yayınları","35,75 TL","https://www.dr.com.tr/kitap/hellenistik-ve-roma-donemlerinde-anadolu-krallar-ımparatorlar-kent-devletleri-kucuk-boy/bilim/arkeoloji/urunno=0001932395001"
32,"İlk Üç Dakika","Steven Weinberg","Sia","25,20 TL","https://www.dr.com.tr/kitap/ılk-uc-dakika/bilim/populer-bilim/urunno=0001934108001"
33,"Zamanın Kısa Tarihi","Stephen Hawking","Alfa Yayıncılık","57,80 TL","https://www.dr.com.tr/kitap/zamanin-kisa-tarihi/bilim/populer-bilim/urunno=0001946308001"
34,"Pisagor Evimizin Her Şeyi - İçinden Geçen Matematik Dünya","Stefan Buijsman","Domingo Yayınevi","32,65 TL","https://www.dr.com.tr/kitap/pisagor-evimizin-her-seyi-icinden-gecen-matematik-dunya/stefan-buijsman/bilim/matematik/urunno=0001966767001"
35,"Susuz Petrol","Ender Ergun","Sokak Kitapları...","19,25 TL","https://www.dr.com.tr/kitap/susuz-petrol/bilim/muhendislik/urunno=0001981187001"
36,"Hayat ve Diğer Hastalıklar","Alper Hasanoğlu","Pinhan Yayıncılık","74,75 TL","https://www.dr.com.tr/kitap/hayat-ve-diger-hastaliklar/alper-hasanoglu/bilim/populer-bilim/urunno=0001975598001"
37,"İzafiyet Teorisi - 100 Yıl Basımı - Özel ve Genel Görelilik","Albert Einstein","Say Yayınları","36,30 TL","https://www.dr.com.tr/kitap/izafiyet-teorisi-100-yil-basimi-ozel-ve-genel-gorelilik/bilim/populer-bilim/urunno=0001959915001"
38,"Epigenetik - Deneyimler Kalıtımla Nasıl Aktarılır?","Bernhard Kegel","Say Yayınları","49,50 TL","https://www.dr.com.tr/kitap/epigenetik-deneyimler-kalitimla-nasil-aktarilir/bilim/populer-bilim/urunno=0001957551001"
39,"Ey Dünya İnsanları Hepiniz Türksünüz","Gene D.Matlock","Hermes Yayınları","44,20 TL","https://www.dr.com.tr/kitap/ey-dunya-ınsanlari-hepiniz-turksunuz/bilim/arkeoloji/urunno=0000000286900"
40,"İki Büyük Dünya Sistemi Hakkında Diyalag - Hasan Ali Yücel Klasikleri","Galileo Galilei","İş Bankası...","28,35 TL","https://www.dr.com.tr/kitap/ıki-buyuk-dunya-sistemi-hakkinda-diyalag-hasan-ali-yucel-klasikleri/bilim/bilim-tarihi-ve-felsefesi/urunno=0000000276917"
41,"Astrobiyoloji-Dünyada ve Evrende Yaşam","David C. Catling","Metis Yayıncılık","35,05 TL","https://www.dr.com.tr/kitap/astrobiyoloji-dunyada-ve-evrende-yasam/bilim/populer-bilim/urunno=0001791913001"
42,"Dünyayı Değiştiren Beş Denklem","Michael Guillen","Nemesis Kitap","48,30 TL","https://www.dr.com.tr/kitap/dunyayi-degistiren-bes-denklem/michael-guillen/bilim/populer-bilim/urunno=0001891727001"
43,"Evrenin Sırrı Sayılar","Engin Avcı","Tilki Kitap","123,20 TL","https://www.dr.com.tr/kitap/evrenin-sirri-sayilar/bilim/populer-bilim/urunno=0001960831001"
44,"Kutup Seferleri","Sinan Yirmibeşoğlu","Tübitak Yayınları","12,00 TL","https://www.dr.com.tr/kitap/kutup-seferleri/bilim/populer-bilim/urunno=0001960046001"
45,"Yapay Zekayı Yeniden Tasarlamak: Otomasyon Çağında İş Demokrasi ve Adalet","Daron Acemoğlu","Efil Yayınevi...","60,00 TL","https://www.dr.com.tr/kitap/yapay-zekayi-yeniden-tasarlamak-otomasyon-caginda-is-demokrasi-ve-adalet/bilim/populer-bilim/urunno=0001983740001"
